,combination_id,avg_zip_score,avg_bliss_score,avg_loewe_score,avg_hsa_score
35,(+)-jq1_biib021,8.275,8.025,-2.705,4.465
36,(+)-jq1_bms-509744,4.29,6.61,-0.1,-0.34
37,(+)-jq1_bosutinib ,2.05,1.15,-10.71,-5.13
38,(+)-jq1_brefeldin ,3.67,2.49,-1.32,5.1
39,(+)-jq1_buparlisib,6.8975,7.835,-2.8825000000000003,0.5650000000000001
40,(+)-jq1_camptothec,8.72,6.88,-3.46,1.57
41,(+)-jq1_cay10603,12.32,11.43,-3.15,2.76
42,(+)-jq1_celecoxib,6.01,11.73,-6.18,3.76
43,(+)-jq1_chembl1288,-1.96,-1.96,0.0,0.0
44,(+)-jq1_chembl1298,8.54,9.76,8.83,11.075
45,(+)-jq1_chembl1706,5.77,2.52,-28.0,-3.42
46,(+)-jq1_chembl2132,2.49,-0.62,-25.13,-6.86
47,(+)-jq1_chembl2134,2.2,1.98,2.62,4.72
48,(+)-jq1_chembl2140,5.239375,4.456875,0.4331249999999999,4.3125
49,(+)-jq1_chembl2143,9.07,9.43,-12.73,-5.2
50,(+)-jq1_chembl3322,5.36,6.86,-2.05,-1.38
51,(+)-jq1_chembl3348,7.57,7.505000000000001,-2.3949999999999996,10.015
52,(+)-jq1_chembl3349,9.155000000000001,8.505,-10.290000000000001,0.375
53,(+)-jq1_chembl3781,1.37,2.28,-12.58,-2.52
54,(+)-jq1_chloroquin,-2.23,-1.47,0.1,0.07
55,(+)-jq1_citarinost,5.75,6.04,-0.64,0.63
56,(+)-jq1_cladribine,9.41,6.78,-19.17,-5.74
57,(+)-jq1_combretast,8.63,7.77,7.49,10.58
58,(+)-jq1_crenolanib,-0.19,3.22,-9.81,-5.88
59,(+)-jq1_crizotinib,-9.16,-6.46,-3.48,-1.44
60,(+)-jq1_cudc-101,-1.6233333333333333,-2.6733333333333333,-4.216666666666666,-1.6499999999999997
61,(+)-jq1_cx-4945 (s,4.24,8.5,-4.42,2.73
62,(+)-jq1_dasa-58,6.31,8.74,-25.66,1.12
63,(+)-jq1_dasatinib,1.2216666666666667,4.0275,3.7241666666666666,6.076666666666667
64,(+)-jq1_dcc-2036 (,6.5425,6.6375,2.3075,5.5600000000000005
65,(+)-jq1_dinaciclib,-3.18,-3.99,-1.66,1.67
66,(+)-jq1_disulfiram,10.84,8.76,-2.27,1.37
67,(+)-jq1_docetaxel,4.21,4.07,-6.07,6.71
68,(+)-jq1_dorsomorph,-4.64,1.6,3.06,3.36
69,(+)-jq1_eeyarestat,6.36,8.94,3.2,5.87
70,(+)-jq1_efavirenz,9.35,6.21,-23.58,-1.33
71,(+)-jq1_epz005687,-5.725,-7.300000000000001,-8.83,-4.63
72,(+)-jq1_erismodegi,8.45,7.58,-4.15,-2.73
73,(+)-jq1_erlotinib,0.19,7.96,4.62,7.01
74,(+)-jq1_etoposide,8.94,8.57,-2.52,1.16
75,(+)-jq1_everolimus,-13.7,-11.6,1.57,2.14
76,(+)-jq1_ezatiostat,11.0,4.13,-12.01,-5.77
77,(+)-jq1_fccp,3.27,7.79,0.52,3.11
78,(+)-jq1_fenretinid,8.2,7.43,-10.79,-3.93
79,(+)-jq1_fingolimod,1.93,2.91,-5.41,-3.22
80,(+)-jq1_flavopirid,2.12,7.75,4.04,4.85
81,(+)-jq1_fmk-mea,12.21,12.28,-9.6,0.28
82,(+)-jq1_foretinib ,6.05,2.33,-5.89,-3.83
83,(+)-jq1_formestane,13.1,10.84,-15.5,-3.31
84,(+)-jq1_fostamatin,1.41,4.33,3.88,1.88
85,(+)-jq1_gemcitabin,-5.98,-5.07,-8.78,-4.32
86,(+)-jq1_glpg0187,2.57,2.17,-13.69,-4.65
87,(+)-jq1_gsk-j4,2.43,4.45,2.57,3.34
88,(+)-jq1_gsk2126458,7.795,6.315,4.9350000000000005,5.715
89,(+)-jq1_gsk2256098,0.29,4.75,-0.78,1.97
90,(+)-jq1_gsk461364,9.95,11.8,-13.69,6.03
91,(+)-jq1_gw3965,2.99,-2.29,-28.52,-7.3
92,(+)-jq1_gw843682x,8.29,10.21,-0.08,0.99
93,(+)-jq1_gyki-53655,3.17,1.03,-0.78,1.35
94,(+)-jq1_ibrutinib ,6.675000000000001,6.5175,7.0874999999999995,9.805
95,(+)-jq1_ic-87114,10.92,8.18,-13.13,2.16
96,(+)-jq1_imd 0354,12.37,11.88,2.06,4.09
97,(+)-jq1_isodonol,-0.09,4.56,-2.12,0.97
98,(+)-jq1_ispinesib ,0.665,-0.8799999999999999,-4.9399999999999995,3.105
99,(+)-jq1_ivachtin,6.53,8.06,-26.18,-2.47
100,(+)-jq1_kx2-391,7.814999999999999,8.05,-3.96,-1.325
101,(+)-jq1_ldk378,8.479999999999999,7.4433333333333325,0.09333333333333312,0.653333333333333
102,(+)-jq1_lenalidomi,-0.41,4.2,0.11,4.22
103,(+)-jq1_lenvatinib,-4.31,-0.52,-3.14,0.92
104,(+)-jq1_leptomycin,8.88,8.6,-0.96,-0.56
105,(+)-jq1_luminespib,2.24,0.2566666666666668,0.20333333333333345,1.5133333333333334
106,(+)-jq1_ly2940680,5.79,3.51,-15.16,-0.41
107,(+)-jq1_masitinib ,8.47,8.92,-10.43,2.24
108,(+)-jq1_mebendazol,-1.525,0.10750000000000015,2.5675,3.7074999999999996
109,(+)-jq1_mefloquine,4.86,7.41,-1.2,-0.55
110,(+)-jq1_midostauri,1.82,-2.29,-12.91,-8.16
111,(+)-jq1_mk-2206,6.322,5.998,1.272,4.546
112,(+)-jq1_mk-4827,2.9050000000000002,4.720000000000001,-0.485,2.92
113,(+)-jq1_ml324,-1.32,-2.49,-10.29,-5.33
114,(+)-jq1_mocetinost,9.96,9.27,-9.68,-5.54
115,(+)-jq1_ncgc000172,5.06,6.29,-6.41,4.37
116,(+)-jq1_ncgc000181,1.95,0.9,-2.08,1.86
117,(+)-jq1_ncgc000950,0.68,3.41,-2.02,3.63
118,(+)-jq1_ncgc000951,6.295,8.120000000000001,-2.9699999999999998,0.8049999999999999
119,(+)-jq1_ncgc001635,0.1949999999999999,1.355,-2.64,1.765
120,(+)-jq1_ncgc001813,5.72,3.9,-0.32,3.73
121,(+)-jq1_ncgc002534,6.11,5.74,4.89,7.37
122,(+)-jq1_ncgc002632,6.503333333333333,6.213333333333334,-3.3666666666666667,1.4566666666666663
123,(+)-jq1_niclosamid,6.03,2.55,-25.88,0.63
124,(+)-jq1_niguldipin,8.2,7.79,-24.85,-0.58
125,(+)-jq1_niraxostat,5.19,8.26,-2.67,-0.47
126,(+)-jq1_nutlin-3b,9.565,5.1,-14.99,-7.375
127,(+)-jq1_orlistat,-12.59,-11.38,-11.88,-2.76
128,(+)-jq1_osi-027,6.46,5.91,-0.08,2.64
129,(+)-jq1_paeonol,4.84,10.38,2.61,1.04
130,(+)-jq1_palomid 52,10.38,6.8,-29.74,-6.18
131,(+)-jq1_panobinost,-2.55,-2.475,1.545,3.5
132,(+)-jq1_pazopanib,9.53,9.17,-28.89,-0.26
133,(+)-jq1_perifosine,7.1,10.02,-25.88,-0.48
134,(+)-jq1_pf-0469150,7.49,12.66,-2.88,-1.62
135,(+)-jq1_ph-797804,12.35,9.44,-7.26,1.97
136,(+)-jq1_pi-103,8.45,11.1,3.06,7.5
137,(+)-jq1_picropodop,1.07,2.9,-15.87,-2.83
138,(+)-jq1_plinabulin,-1.6,-0.83,4.06,6.53
139,(+)-jq1_podophyllo,1.38,1.24,1.01,1.84
140,(+)-jq1_ponatinib ,1.143333333333333,0.5766666666666667,-0.36,2.283333333333333
141,(+)-jq1_pralatrexa,8.64,6.69,-2.16,1.14
142,(+)-jq1_prazosin,-2.23,-0.51,-2.98,-0.72
143,(+)-jq1_prochlorpe,9.86,9.98,-6.66,-6.71
144,(+)-jq1_raloxifene,5.42,7.86,-6.97,-1.13
145,(+)-jq1_regorafeni,7.16,5.22,-19.42,-5.69
146,(+)-jq1_ribociclib,-4.31,0.46,0.04,1.29
147,(+)-jq1_ro4929097,10.73,6.14,-8.25,-4.09
148,(+)-jq1_sa-13353,8.01,9.38,-19.58,8.05
149,(+)-jq1_salinomyci,8.74,9.93,-3.15,7.83
150,(+)-jq1_schembl230,9.74,10.08,-8.44,-4.0
151,(+)-jq1_schembl361,6.22,4.06,-8.33,-0.87
152,(+)-jq1_schembl823,-1.0237500000000002,-1.3308333333333335,-7.054166666666667,-3.6937500000000005
153,(+)-jq1_sd-208,13.54,12.57,-3.07,-1.43
154,(+)-jq1_selumetini,7.61,10.56,7.89,9.19
155,(+)-jq1_sepantroni,5.416666666666667,5.386666666666667,-6.323333333333333,-2.3966666666666665
156,(+)-jq1_sgx-523,9.91,8.44,-30.22,-2.96
157,(+)-jq1_sns-032 (b,4.57,3.9166666666666665,-1.16,2.08
158,(+)-jq1_sns-314,9.73,7.22,-23.11,-0.08
159,(+)-jq1_thz1,-1.16,-1.38,2.5949999999999998,4.73
160,(+)-jq1_tic10,11.32,10.54,0.4,2.46
161,(+)-jq1_tic10 isom,2.27,7.6,2.0,4.64
162,(+)-jq1_tiplaxtini,4.34,3.64,-16.8,-4.64
163,(+)-jq1_tofacitini,4.91,3.1,-28.91,-2.77
164,(+)-jq1_topotecan,4.44,4.56,-0.56,4.31
165,(+)-jq1_torin 2,7.77,7.02,4.15,7.29
166,(+)-jq1_trametinib,8.626666666666667,8.59,3.0,6.996666666666667
167,(+)-jq1_vincristin,-7.12,-6.3,2.24,6.62
168,(+)-jq1_visudyne,-2.87,3.0,0.99,2.45
169,(+)-jq1_yk-4-279,9.05,6.35,-0.14,1.78
170,(+)-jq1_zaltoprofe,4.2,3.4,-13.78,-5.76
171,(+)-jq1_zinc175455,0.8399999999999997,1.0874999999999997,-0.76,2.0175
172,(+)-jq1_zinc348944,11.86,12.97,-3.32,4.59
173,(+)-jq1_zolinza,-6.85,-5.99,-4.195,-1.69
174,(+)-matrin_717906-29-,5.1,3.74,-9.65,1.79
175,(+\\/-)-su_argatroban,-5.85,-5.85,9.24,9.25
176,(+\\/-)-su_aripiprazo,-5.82,-5.82,7.76,7.78
177,(+\\/-)-su_azacitidin,3.04,3.04,3.74,3.79
178,(+\\/-)-su_carmustine,-11.24,-11.24,4.26,4.26
179,(+\\/-)-su_cerivastat,3.09,3.09,3.46,3.55
180,(+\\/-)-su_cytarabine,-3.37,-3.37,-3.05,-2.99
181,(+\\/-)-su_dantrolene,-2.22,-2.22,9.73,9.74
182,(+\\/-)-su_diazoxide,-10.01,-10.01,-9.32,-9.3
183,(+\\/-)-su_dideoxycyt,-10.05,-10.05,0.12,0.12
184,(+\\/-)-su_dihydroart,9.55,9.55,11.94,11.98
185,(+\\/-)-su_docetaxel,4.32,4.32,4.97,5.01
186,(+\\/-)-su_efavirenz,-7.83,-7.83,7.02,7.03
187,(+\\/-)-su_epinephrin,-0.78,-0.78,0.47,0.5
188,(+\\/-)-su_eptifibati,-8.85,-8.85,6.22,6.23
189,(+\\/-)-su_hydroxyure,2.05,2.05,2.62,2.62
190,(+\\/-)-su_irinotecan,3.58,3.58,3.98,4.03
191,(+\\/-)-su_leflunomid,-8.06,-8.06,-6.23,-6.23
192,(+\\/-)-su_levonorges,-11.91,-11.91,2.8,2.82
193,(+\\/-)-su_maraviroc,-10.49,-10.49,4.69,4.7
194,(+\\/-)-su_mefloquine,4.76,4.76,5.47,5.51
195,(+\\/-)-su_mesalazine,-2.12,-2.12,12.32,12.32
196,(+\\/-)-su_metformin,-4.04,-4.04,9.12,9.12
197,(+\\/-)-su_methotrexa,-0.82,-0.82,3.03,3.1
198,(+\\/-)-su_mycophenol,3.57,3.57,4.18,4.2
199,(+\\/-)-su_nateglinid,-3.97,-3.97,10.19,10.2
200,(+\\/-)-su_paromomyci,-10.36,-10.36,4.69,4.7
201,(+\\/-)-su_sorafenib,-6.11,-6.11,6.15,6.15
202,(+\\/-)-su_stanozolol,-12.18,-12.18,0.43,0.44
203,(+\\/-)-su_succinylch,-9.96,-9.96,3.74,3.74
204,(+\\/-)-su_tetracycli,-9.38,-9.38,6.11,6.11
205,(+\\/-)-su_zolinza,3.69,3.69,4.15,4.21
206,(-)-chlorp_717906-29-,4.84,5.32,-9.59,1.61
207,(-)-chlorp_ruxolitini,0.56,0.05,-21.23,1.86
208,(-)-ethyl _ak-77283,2.44,4.18,-1.2,-0.65
209,(-)-ethyl _bez-235,9.16,7.85,0.04,0.02
210,(-)-ethyl _chembl1298,2.53,6.63,-0.82,-0.34
211,(-)-ethyl _chembl2140,4.33,5.43,-11.45,7.36
212,(-)-ethyl _chembl2144,10.56,9.3,-1.01,-3.77
213,(-)-ethyl _cudc-101,9.7,11.62,-3.58,-3.47
214,(-)-ethyl _dasatinib,0.24,1.7,3.67,3.76
215,(-)-ethyl _dorsomorph,7.62,12.42,0.17,4.96
216,(-)-ethyl _fingolimod,-2.71,-2.91,-16.52,-2.14
217,(-)-ethyl _flavopirid,-5.23,-2.64,-15.95,-2.01
218,(-)-ethyl _fostamatin,11.74,12.79,-1.34,5.7
219,(-)-ethyl _gsk-j4,3.4,5.08,-17.87,4.47
220,(-)-ethyl _imd 0354,7.79,8.86,-25.91,5.07
221,(-)-ethyl _isodonol,6.2,7.61,-1.69,1.45
222,(-)-ethyl _luminespib,6.83,10.1,4.01,1.48
223,(-)-ethyl _mebendazol,-0.41,2.38,-5.12,-3.28
224,(-)-ethyl _ncgc000172,-1.44,-2.82,-17.83,-3.43
225,(-)-ethyl _ncgc000950,6.48,8.54,-17.67,2.65
226,(-)-ethyl _niclosamid,-3.37,-3.69,-9.6,-1.0
227,(-)-ethyl _paeonol,3.15,3.4,-0.83,-1.52
228,(-)-ethyl _prazosin,-4.29,-1.92,0.42,0.16
229,(-)-ethyl _raf265 (ch,5.11,7.99,-0.41,-0.22
230,(-)-ethyl _schembl823,10.13,9.42,-1.52,-1.8
231,(-)-indola_717906-29-,9.62,10.51,-9.74,2.1
232,(-)-indola_panobinost,1.791,0.8995,-11.102,-0.4015
233,"(2r,3r,4s,_717906-29-",1.2,2.78,-4.54,-0.15
234,"(2r,3r,4s,_ruxolitini",2.87,3.22,-16.16,-0.2
235,"(3alpha,5b_717906-29-",1.79,2.63,-11.77,-0.12
236,(6-)e-<u+2_717906-29-,-0.12,0.57,-9.14,1.67
237,(6-)e-<u+2_panobinost,-4.15,-3.0,-1.81,2.21
238,(6-)e-<u+2_ruxolitini,13.55,12.11,-25.44,1.13
239,"(6r)-5,10-_panobinost",7.48,4.92,2.57,9.06
240,(e)-1-(4-(_717906-29-,0.36,0.22,-6.28,-0.63
241,(e)-1-(4-(_ruxolitini,-2.11,-3.69,-19.86,0.08
242,(e)-n-meth_717906-29-,-1.18,1.48,-4.19,0.93
243,(e)-n-meth_ruxolitini,-0.07,2.7,-26.03,0.46
244,(phenylind_717906-29-,-0.82,-1.7,-12.4,-2.42
245,(r)-(-)-ro_717906-29-,-1.37,-0.63,-4.54,-1.35
246,(r)-bicalu_717906-29-,2.58,2.33,-4.89,-2.12
247,(r)-bicalu_ruxolitini,4.59,4.24,-3.89,2.41
248,(r)-etodol_panobinost,4.26,0.9,-17.67,-2.59
249,(r)-pfi-2_panobinost,-0.089,0.266,-6.009,3.519
250,(±)-taxifo_panobinost,-0.684,-1.758,-19.216,0.559
251,1-(1-napht_panobinost,2.94,2.86,-6.58,0.88
252,1-(1-napht_ruxolitini,4.99,2.84,5.02,3.76
253,"1-(2,4-dih_717906-29-",-1.22,-1.11,-7.31,2.0
254,1-(4-fluor_717906-29-,3.08,5.48,0.71,4.94
255,1-(4-fluor_ibrutinib ,6.35,4.63,-16.26,0.25
256,1-(4-fluor_ruxolitini,8.75,8.53,-29.85,-1.85
257,1-[2-fluor_717906-29-,1.27,2.22,-9.22,1.31
258,1-[2-fluor_ruxolitini,4.89,4.39,-0.23,3.71
259,1-beta-d-x_717906-29-,-2.31,-3.62,-13.31,-3.06
260,1-methyl-d_717906-29-,-4.02,-4.84,-8.77,-3.23
261,1-methyl-d_panobinost,-4.83,-5.5,-13.77,0.96
262,1-methyl-d_ruxolitini,5.07,5.95,-2.15,5.77
263,10-deacety_panobinost,2.236,3.0595,4.3515,5.4205000000000005
264,10-epi-acl_717906-29-,1.4,0.95,-0.78,2.28
265,10-epi-acl_panobinost,4.38,3.47,1.54,3.56
266,10-epi-acl_ruxolitini,0.32,-0.73,0.2,2.02
267,10-hydroxy_717906-29-,-2.32,-2.34,-3.02,0.35
268,10-hydroxy_panobinost,0.5525,0.1505,7.9835,9.598
269,10-hydroxy_ruxolitini,0.5485,0.0505,1.582,3.5495
270,10058-f4_panobinost,3.597,4.0685,-16.776,5.1215
271,10058-f4_ruxolitini,11.517,9.019,-30.066,-0.598
272,10074-g5_717906-29-,2.93,5.35,-11.38,0.37
273,10074-g5_panobinost,2.3085,2.0215,2.928,3.341
274,10074-g5_ruxolitini,5.851,7.86,1.63,3.201
275,1022958-60_panobinost,0.73,2.48,-2.5,4.04
276,1037624-75_panobinost,4.61,7.26,0.79,2.31
277,1044870-39_panobinost,3.62,3.29,-3.82,2.53
278,1047953-91_717906-29-,2.76,4.24,-9.82,2.28
279,1047953-91_panobinost,5.96,5.23,-5.31,3.2
280,1062368-24_717906-29-,4.52,5.57,3.43,6.99
281,1062368-24_ibrutinib ,6.84,5.88,-3.72,-1.74
282,1062368-24_panobinost,3.97,3.54,1.62,4.99
283,1062368-24_ruxolitini,9.79,9.04,3.42,5.06
284,108341-18-_panobinost,8.52,8.94,7.38,7.44
285,108740-89-_panobinost,5.665,6.46,-4.41,4.28
286,1088965-37_2-methoxy-,10.65,9.18,-5.62,-0.9
287,1088965-37_200484-11-,0.975,-1.1999999999999995,-4.12,-1.425
288,1088965-37_451492-95-,6.19,4.08,-4.4275,-1.9325
289,1088965-37_717906-29-,-1.06,-2.37,-4.31,-1.3
290,1088965-37_aee788 (nv,11.19,10.34,-1.68,0.7
291,1088965-37_ak-77283,2.9549999999999996,1.3399999999999999,-1.7000000000000002,1.69
292,1088965-37_ak170455,6.94,8.434999999999999,-1.7900000000000003,2.8725000000000005
293,1088965-37_at7519,7.35,4.99,-2.205,1.095
294,1088965-37_bgt-226 fr,6.075,4.1175,-2.7825,0.7450000000000001
295,1088965-37_buparlisib,4.15,0.69,-10.54,-6.68
296,1088965-37_camptothec,9.96,11.76,-5.92,0.94
297,1088965-37_chembl3348,8.049999999999999,6.926666666666667,2.9766666666666666,6.2
298,1088965-37_chembl3349,4.29,3.325,-3.01,2.11
299,1088965-37_cyclohexim,7.81,12.68,-10.59,-9.68
300,1088965-37_disulfiram,8.305,5.19,-4.53,-2.11
301,1088965-37_etoposide,5.74,4.03,-1.45,1.92
302,1088965-37_ispinesib ,4.69,1.07,-7.1,-2.7
303,1088965-37_kx2-391,6.105,3.355,-3.015,0.44
304,1088965-37_lenvatinib,7.88,7.87,-8.8,-7.23
305,1088965-37_leptomycin,1.47,-0.93,-4.3500000000000005,-2.41
306,1088965-37_luminespib,-1.2100000000000002,-4.44,-2.7300000000000004,-1.015
307,1088965-37_mk-2206,-1.51,-0.2649999999999999,-6.305,-2.515
308,1088965-37_mk-4827,9.023333333333332,9.12,-2.7466666666666666,0.9200000000000004
309,1088965-37_ncgc000181,6.585,4.625,-7.59,0.265
310,1088965-37_ncgc000951,5.31,6.09,-4.26,2.04
311,1088965-37_ncgc001635,1.7133333333333332,0.9733333333333332,-5.5,0.2533333333333334
312,1088965-37_ncgc001813,3.485,1.845,-1.645,1.53
313,1088965-37_osi-027,10.18,9.91,2.16,5.14
314,1088965-37_panobinost,-3.71,-5.64,-0.14,6.81
315,1088965-37_pf-0492911,-2.97,-5.35,-6.09,-3.77
316,1088965-37_picropodop,4.28,3.69,-8.68,-5.29
317,1088965-37_pralatrexa,4.995,2.0500000000000003,-9.3,0.0199999999999999
318,1088965-37_schembl823,6.080000000000001,5.353333333333334,-8.85,-1.5466666666666669
319,1088965-37_sepantroni,13.59,7.58,-5.85,-2.52
320,1088965-37_vincristin,11.41,9.69,-1.19,2.74
321,1088965-37_visudyne,-1.25,-5.22,-8.29,-7.75
322,1088965-37_zinc175455,11.24,12.0,-1.32,1.72
323,1088965-37_zinc348944,7.055,5.93,-0.98,2.905
324,1096708-71_717906-29-,4.04,5.83,-5.49,0.01
325,1096708-71_panobinost,1.51,1.16,-18.53,2.84
326,1096708-71_ruxolitini,0.64,-1.92,-24.65,0.36
327,11-cis ret_717906-29-,-1.565,-0.635,-7.199999999999999,-0.555
328,11-cis ret_ruxolitini,8.62,8.47,-12.04,3.54
329,1101810-02_panobinost,1.42,0.13,9.21,11.53
330,110448-33-_panobinost,-6.31,-7.94,-14.99,1.25
331,1144035-53_717906-29-,8.1,9.96,-3.77,1.76
332,1144035-53_panobinost,5.46,4.74,-0.28,3.24
333,1144035-53_ruxolitini,-0.21,-1.73,-24.26,-2.34
334,1155877-97_717906-29-,5.83,5.39,-6.52,-1.16
335,1155877-97_panobinost,4.86,6.03,-13.86,2.66
336,1155877-97_ruxolitini,-0.41,1.51,0.38,1.59
337,1169562-71_panobinost,-5.09,-5.58,-4.67,-0.42
338,117048-62-_117048-62-,1.0975,-0.35,-2.9025,-2.1675
339,117048-62-_717906-29-,-0.82,-1.59,-4.61,-2.43
340,117048-62-_alisertib ,1.32,9.13,-6.58,3.38
341,117048-62-_auranofin,2.98,6.75,-13.96,2.81
342,117048-62-_biib021,3.07,3.04,4.79,6.1
343,117048-62-_buparlisib,-0.8899999999999999,1.38,6.025,2.875
344,117048-62-_chembl2144,-3.19,1.34,-7.36,0.71
345,117048-62-_chloroquin,5.3,6.84,-2.85,-0.61
346,117048-62-_cudc-101,12.72,11.66,-12.91,0.47
347,117048-62-_dasatinib,10.28,12.67,2.38,9.08
348,117048-62-_dorsomorph,-1.6,1.31,-5.89,3.26
349,117048-62-_fingolimod,7.1,11.16,-2.37,-0.87
350,117048-62-_flavopirid,10.5,11.16,3.7,5.68
351,117048-62-_gsk-j4,5.65,7.89,-0.49,1.42
352,117048-62-_ibrutinib ,0.2,0.47,0.63,0.56
353,117048-62-_imd 0354,5.87,11.5,-8.89,1.07
354,117048-62-_luminespib,4.02,12.19,-2.43,-0.71
355,117048-62-_mefloquine,-2.42,3.01,0.38,2.25
356,117048-62-_ncgc000172,3.22,3.84,-5.25,-2.52
357,117048-62-_ncgc000950,10.07,9.26,3.44,4.92
358,117048-62-_niclosamid,6.81,5.85,-0.58,1.06
359,117048-62-_nutlin-3b,7.29,9.73,-1.36,-1.08
360,117048-62-_paeonol,0.26,1.16,-0.62,1.56
361,117048-62-_pf-0469150,5.31,6.66,7.7,8.75
362,117048-62-_prazosin,8.77,9.24,-1.68,0.4
363,117048-62-_prochlorpe,-3.89,-1.55,-1.27,2.38
364,117048-62-_raf265 (ch,4.24,4.31,-1.11,1.17
365,117048-62-_raloxifene,-3.12,-4.29,-16.81,-4.63
366,117048-62-_ruxolitini,4.79,4.55,6.84,8.79
367,117048-62-_schembl823,5.5,6.44,-19.43,-0.95
368,117048-62-_sepantroni,9.21,8.02,0.6,2.22
369,117048-62-_trametinib,8.58,8.5,1.08,10.81
370,117048-62-_zinc348944,8.83,8.21,4.68,5.72
371,1202884-94_717906-29-,-1.59,-2.84,-0.26,2.47
372,1202884-94_panobinost,7.09,6.3,3.95,6.99
373,1202884-94_ruxolitini,3.5,3.57,3.5,7.12
374,121268-17-_panobinost,-3.26,-4.35,-19.81,-0.11
375,1218942-37_panobinost,1.67,1.9,-17.63,-0.76
376,1221186-53_717906-29-,-2.45,-2.39,-13.14,-0.06
377,1221186-53_panobinost,0.46,-0.59,-14.2,5.41
378,1233948-35_panobinost,-1.55,-2.29,7.44,8.5
379,1239610-44_717906-29-,2.2,2.49,-1.59,3.26
380,1239610-44_ruxolitini,12.41,9.73,4.61,8.46
381,1262770-73_panobinost,8.34,8.8,-12.02,6.08
382,1265229-25_panobinost,0.57,-0.94,8.16,9.98
383,1293395-67_panobinost,2.5,0.98,-2.01,-2.04
384,130332-27-_717906-29-,5.14,4.16,-8.09,-0.33
385,130332-27-_panobinost,6.87,8.59,-15.92,4.52
386,130332-27-_ruxolitini,3.27,-1.05,-23.01,-7.92
387,1314241-44_717906-29-,3.69,4.48,-9.43,1.4
388,1314241-44_panobinost,0.71,-1.84,-0.32,-1.42
389,1314241-44_ruxolitini,5.49,8.11,-17.46,0.46
390,131848-97-_717906-29-,4.11,5.41,-1.94,-0.77
391,131848-97-_panobinost,7.19,7.09,-9.94,2.64
392,13292-46-1_717906-29-,1.09,-0.01,-9.72,0.57
393,13292-46-1_ruxolitini,-0.92,-1.08,-25.12,-1.28
394,134036-52-_717906-29-,-2.79,-4.87,-12.09,-2.54
395,1352608-82_panobinost,-5.63,-8.0,-6.59,-3.15
396,1370256-78_panobinost,8.74,10.15,5.41,5.39
397,141400-58-_717906-29-,5.48,5.07,-12.88,-1.16
398,141400-58-_panobinost,7.06,5.73,-3.69,1.24
399,141400-58-_ruxolitini,9.82,11.5,-15.01,3.05
400,1421227-52_717906-29-,8.85,9.13,0.42,6.21
401,1421227-52_ruxolitini,0.61,-3.62,-6.25,-2.22
402,145-13-1_717906-29-,8.28,8.97,-13.09,-0.2
