Drug1,Drug2,Cell line,ZIP,Bliss,Loewe,HSA,classification,combination_id,chemical_1,chemical_2,z_score_sum,min_max_score_sum,degree_centrality_1,degree_centrality_2,clustering_1,clustering_2,pagerank_1,pagerank_2,closeness_1,closeness_2,betweenness_1,betweenness_2
5-fu,amifostine,IGROV1,3.33,2.42,-11.63,-0.21,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,K-562,2.11,0.55,-21.5,-2.07,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,KM12,1.54,-0.74,-17.24,-1.2,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,LOX IMVI,0.0,-0.47,-5.27,0.03,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,M14,3.43,3.86,-11.16,1.44,synergy,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,MALME-3M,4.37,4.67,-10.12,1.96,synergy,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,MCF7,3.36,3.76,-14.04,1.48,synergy,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,MDA-MB-231,-0.15,6.52,-10.76,0.13,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,MDA-MB-435,1.57,1.06,-3.72,0.8,synergy,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,MDA-MB-468,2.09,-0.28,-14.87,-2.48,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,MOLT-4,-0.25,2.0,-4.42,0.32,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,NCI-H226,10.31,10.1,-7.36,3.32,synergy,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,NCI-H322M,1.79,2.2,-9.57,2.09,synergy,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,NCI-H460,2.72,1.27,-14.21,1.5,synergy,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,NCI-H522,-2.55,0.48,-2.01,-2.15,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,NCIH23,0.1,-0.92,-8.92,0.34,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,NCI\\/ADR-RES,0.13,4.33,-10.65,1.67,synergy,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,OVCAR-4,0.56,-0.7,-15.92,-0.75,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,OVCAR-5,3.56,4.36,-12.14,2.59,synergy,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,OVCAR-8,0.69,-0.26,-3.28,-0.57,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,OVCAR3,4.15,4.46,-15.41,0.89,synergy,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,PC-3,0.62,-0.42,-13.85,-1.27,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,RXF 393,-2.35,-0.41,-12.09,-0.91,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,SF-268,1.14,2.22,0.37,1.68,synergy,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,SF-295,-14.19,-4.2,-13.41,-1.93,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,SF-539,1.63,1.85,-12.27,1.09,synergy,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,SK-MEL-2,1.11,3.17,-3.95,2.34,synergy,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,SK-MEL-28,-0.05,0.24,-1.16,1.54,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,SK-MEL-5,3.83,6.54,-9.97,3.12,synergy,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,SK-OV-3,0.83,-0.15,-2.85,-0.64,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,SN12C,2.7,2.43,-8.61,0.26,synergy,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,SNB-19,5.03,4.53,-14.79,-0.52,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,SNB-75,-2.85,2.84,-6.82,1.28,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,SR,-2.79,-6.01,-14.06,-4.37,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,SW-620,-0.57,-0.06,-12.7,0.84,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,T-47D,1.63,3.0,0.62,2.4,synergy,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,TK-10,-0.08,0.01,-0.65,1.65,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,U251,-11.36,-1.66,-15.08,-1.4,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,UACC-257,-6.15,2.7,-0.02,2.82,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,UACC62,1.75,2.43,-1.41,1.71,synergy,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,amifostine,UO-31,-0.98,-1.82,-3.39,-1.1,antagonism,5-fu_amifostine,CIDs00003385,CIDs00002141,0.3826452478625646,0.0131609152284193,0.4444444444444444,0.03881278538812785,0.2819203928663737,0.8854901960784314,0.0038743103467336164,0.00044596113785807433,0.641529404573962,0.5024944549827505,0.005625718232314922,3.744595692237488e-05
5-fu,busulfan,786-0,2.26,2.2,3.23,7.23,synergy,5-fu_busulfan,CIDs00003385,CIDs00002478,1.4713996128703593,0.030038801984963,0.4444444444444444,0.091324200913242,0.2819203928663737,0.9649859943977591,0.0038743103467336164,0.0008008875216359069,0.641529404573962,0.5175831861477797,0.005625718232314922,2.6360008183874715e-06
5-fu,busulfan,A498,-3.88,-7.49,-15.08,-6.28,antagonism,5-fu_busulfan,CIDs00003385,CIDs00002478,1.4713996128703593,0.030038801984963,0.4444444444444444,0.091324200913242,0.2819203928663737,0.9649859943977591,0.0038743103467336164,0.0008008875216359069,0.641529404573962,0.5175831861477797,0.005625718232314922,2.6360008183874715e-06
5-fu,busulfan,A549,1.77,-0.53,-1.79,2.56,antagonism,5-fu_busulfan,CIDs00003385,CIDs00002478,1.4713996128703593,0.030038801984963,0.4444444444444444,0.091324200913242,0.2819203928663737,0.9649859943977591,0.0038743103467336164,0.0008008875216359069,0.641529404573962,0.5175831861477797,0.005625718232314922,2.6360008183874715e-06
5-fu,busulfan,ACHN,-2.0,0.4,3.44,7.27,synergy,5-fu_busulfan,CIDs00003385,CIDs00002478,1.4713996128703593,0.030038801984963,0.4444444444444444,0.091324200913242,0.2819203928663737,0.9649859943977591,0.0038743103467336164,0.0008008875216359069,0.641529404573962,0.5175831861477797,0.005625718232314922,2.6360008183874715e-06
5-fu,busulfan,BT-549,-12.66,-4.26,-6.74,-1.36,antagonism,5-fu_busulfan,CIDs00003385,CIDs00002478,1.4713996128703593,0.030038801984963,0.4444444444444444,0.091324200913242,0.2819203928663737,0.9649859943977591,0.0038743103467336164,0.0008008875216359069,0.641529404573962,0.5175831861477797,0.005625718232314922,2.6360008183874715e-06
5-fu,busulfan,CAKI-1,2.76,1.55,6.65,8.74,synergy,5-fu_busulfan,CIDs00003385,CIDs00002478,1.4713996128703593,0.030038801984963,0.4444444444444444,0.091324200913242,0.2819203928663737,0.9649859943977591,0.0038743103467336164,0.0008008875216359069,0.641529404573962,0.5175831861477797,0.005625718232314922,2.6360008183874715e-06
5-fu,busulfan,COLO 205,-8.04,-10.61,-7.65,-5.02,antagonism,5-fu_busulfan,CIDs00003385,CIDs00002478,1.4713996128703593,0.030038801984963,0.4444444444444444,0.091324200913242,0.2819203928663737,0.9649859943977591,0.0038743103467336164,0.0008008875216359069,0.641529404573962,0.5175831861477797,0.005625718232314922,2.6360008183874715e-06
5-fu,busulfan,DU-145,-2.25,-4.89,-6.82,-4.77,antagonism,5-fu_busulfan,CIDs00003385,CIDs00002478,1.4713996128703593,0.030038801984963,0.4444444444444444,0.091324200913242,0.2819203928663737,0.9649859943977591,0.0038743103467336164,0.0008008875216359069,0.641529404573962,0.5175831861477797,0.005625718232314922,2.6360008183874715e-06
5-fu,busulfan,EKVX,-0.15,-0.53,-8.57,-2.92,antagonism,5-fu_busulfan,CIDs00003385,CIDs00002478,1.4713996128703593,0.030038801984963,0.4444444444444444,0.091324200913242,0.2819203928663737,0.9649859943977591,0.0038743103467336164,0.0008008875216359069,0.641529404573962,0.5175831861477797,0.005625718232314922,2.6360008183874715e-06
5-fu,busulfan,HCC-2998,-5.04,-9.55,-10.02,-9.52,antagonism,5-fu_busulfan,CIDs00003385,CIDs00002478,1.4713996128703593,0.030038801984963,0.4444444444444444,0.091324200913242,0.2819203928663737,0.9649859943977591,0.0038743103467336164,0.0008008875216359069,0.641529404573962,0.5175831861477797,0.005625718232314922,2.6360008183874715e-06
5-fu,busulfan,HCT-15,-0.01,-5.03,-22.66,-6.4,antagonism,5-fu_busulfan,CIDs00003385,CIDs00002478,1.4713996128703593,0.030038801984963,0.4444444444444444,0.091324200913242,0.2819203928663737,0.9649859943977591,0.0038743103467336164,0.0008008875216359069,0.641529404573962,0.5175831861477797,0.005625718232314922,2.6360008183874715e-06
5-fu,busulfan,HCT116,-3.45,-5.4,-7.69,-2.5,antagonism,5-fu_busulfan,CIDs00003385,CIDs00002478,1.4713996128703593,0.030038801984963,0.4444444444444444,0.091324200913242,0.2819203928663737,0.9649859943977591,0.0038743103467336164,0.0008008875216359069,0.641529404573962,0.5175831861477797,0.005625718232314922,2.6360008183874715e-06
